cost,popsize,iterations,runtime
1770.3321098258682,10,200,0.4141261577606201
1623.0260349272985,20,200,0.7422797679901123
1484.6135475780954,30,200,1.0569469928741455
1606.750799556615,40,200,1.937082052230835
1457.2986633553694,50,200,1.9476068019866943
1391.1175526580414,60,200,2.4695260524749756
1249.3492472964772,70,200,2.7907800674438477
1388.1124627387876,80,200,3.48199725151062
1326.8459650371028,90,200,4.007580757141113
1335.6488950643068,100,200,4.201521635055542
1423.97109859596,110,200,4.215567111968994
1257.38674074143,120,200,5.8952295780181885
1464.736398369751,130,200,6.419146299362183
1338.888564631303,140,200,6.876197338104248
1500.4772715568738,150,200,7.130364656448364
1431.033007024547,160,200,8.248667001724243
1342.2197394946027,170,200,8.177889108657837
1275.231233621986,180,200,8.313838481903076
1294.2433663238085,190,200,8.506579399108887
1308.0676853356556,200,200,8.88383150100708
1252.2416165205793,210,200,9.088698863983154
1318.2991346609933,220,200,9.82943606376648
1450.3285688502187,230,200,10.719779253005981
1262.268675704483,240,200,10.936012983322144
1223.2795624181508,250,200,11.59654974937439
1158.4179323955975,260,200,12.453084707260132
1196.7507955785195,270,200,13.284252882003784
1346.8748249252342,280,200,13.451300621032715
1413.3302884781026,290,200,14.374971389770508
1278.898339491246,300,200,15.033390998840332
1259.166997874583,310,200,14.575628995895386
1242.5766539085666,320,200,15.273882865905762
1255.948799665942,330,200,15.561353921890259
1344.8699978335312,340,200,16.8404643535614
